index,param,value
1115,map,10
1115,traffic_density,10
1115,side_detector_distance,0
1116,map,10
1116,traffic_density,10
1116,side_detector_distance,0
1119,map,10
1119,traffic_density,10
1119,side_detector_distance,0
1120,map,10
1120,traffic_density,10
1120,side_detector_distance,0
1121,map,10
1121,traffic_density,10
1121,side_detector_distance,0
1123,map,10
1123,traffic_density,10
1123,side_detector_distance,0
1125,map,10
1125,traffic_density,10
1125,side_detector_distance,0
1128,map,10
1128,traffic_density,10
1128,side_detector_distance,0
1129,map,7
1129,traffic_density,10
1129,side_detector_distance,0
1130,map,10
1130,traffic_density,10
1130,side_detector_distance,0
1131,map,10
1131,traffic_density,10
1131,side_detector_distance,0
1135,map,10
1135,traffic_density,10
1135,side_detector_distance,8
1140,map,10
1140,traffic_density,10
1140,side_detector_distance,0
1141,map,10
1141,traffic_density,10
1141,side_detector_distance,0
1142,map,10
1142,traffic_density,10
1142,side_detector_distance,0
1143,map,10
1143,traffic_density,10
1143,side_detector_distance,0
1146,map,10
1146,traffic_density,10
1146,side_detector_distance,0
1147,map,10
1147,traffic_density,10
1147,side_detector_distance,0
1148,map,10
1148,traffic_density,10
1148,side_detector_distance,0
1149,map,10
1149,traffic_density,10
1149,side_detector_distance,0
1151,map,10
1151,traffic_density,10
1151,side_detector_distance,0
1152,map,10
1152,traffic_density,10
1152,side_detector_distance,0
1156,map,10
1156,traffic_density,10
1156,side_detector_distance,0
1157,map,10
1157,traffic_density,10
1157,side_detector_distance,0
1161,map,10
1161,traffic_density,10
1161,side_detector_distance,0
1163,map,10
1163,traffic_density,10
1163,side_detector_distance,0
1164,map,10
1164,traffic_density,10
1164,side_detector_distance,0
1166,map,10
1166,traffic_density,10
1166,side_detector_distance,0
1167,map,10
1167,traffic_density,10
1167,side_detector_distance,0
1169,map,10
1169,traffic_density,10
1169,side_detector_distance,0
1172,map,10
1172,traffic_density,10
1172,side_detector_distance,0
1173,map,10
1173,traffic_density,10
1173,side_detector_distance,0
1174,map,10
1174,traffic_density,10
1174,side_detector_distance,0
1175,map,10
1175,traffic_density,10
1175,side_detector_distance,0
1176,map,10
1176,traffic_density,10
1176,side_detector_distance,0
1177,map,10
1177,traffic_density,10
1177,side_detector_distance,0
1179,map,10
1179,traffic_density,10
1179,side_detector_distance,0
1181,map,10
1181,traffic_density,10
1181,side_detector_distance,0
1182,map,10
1182,traffic_density,10
1182,side_detector_distance,0
1183,map,10
